city_name,citycode,nom_insee,lat_insee,lon_insee,code_dept,code_region,population_insee,surface_km2,densite_pop_km2,revenu_median_uc,taux_sans_voiture,voitures_par_menage,part_65plus,distance_dom_trav_med_km,nb_gares,nb_trajets_total,nb_trajets_moy_arret,nb_trajets_max_arret,nb_lignes_total,premier_depart_matin,dernier_depart_ville,amplitude_moy_h,amplitude_max_h,amplitude_min_h,service_weekend,service_7j_sur_7,dist_gare_min_m,has_gare,accessibilite_ord,dernier_depart_apres_minuit
Broons,22020,Broons,48.3135,-2.2418,22,53,2943.0,35.7177,82.39612293064783,22280.0,0.10176825019670246,1.3394874284711042,0.30501908757213886,9.282884465878661,2,855,427.5,439,3,06:16:00,21:22:00,15.09,15.1,15.08,True,True,2257.3793801991715,True,2,0
Brusvily,22021,Brusvily,48.3922,-2.1174,22,53,1153.0,12.081199999999999,95.43753931728637,21720.0,0.07117178281328436,1.4542963291121798,0.2016772297185212,7.722858174407765,0,0,0.0,0,0,,,,,,False,False,8587.637532285102,False,0,0
Callac,22025,Callac,48.4192,-3.4138,22,53,2312.0,33.471399999999996,69.07389592308658,19970.0,0.14933042726375062,1.1223795489550072,0.39737606608431175,0.0,4,1797,359.4,477,7,06:28:00,23:06:00,13.25,16.63,0.0,True,True,1494.2553217097543,True,3,0
Caulnes,22032,Caulnes,48.3032,-2.1598,22,53,2501.0,32.5276,76.88855003135798,22210.0,0.0978955857901961,1.3487216161499245,0.2760223176687466,15.267714044053243,2,857,428.5,441,3,06:16:00,21:16:00,14.98,15.0,14.97,True,True,2110.6462819611093,True,2,0
Cavan,22034,Cavan,48.6832,-3.3563,22,53,1571.0,16.8049,93.48463840903545,22720.0,0.06144143478270193,1.4646072504243246,0.1879319614562164,10.819275646108085,0,0,0.0,0,0,,,,,,False,False,9094.898128177969,False,0,0
Les Champs-Géraux,22035,Les Champs-Géraux,48.4271,-1.9759,22,53,1054.0,19.6698,53.584683118282854,22020.0,0.0392156862745098,1.5446623093681917,0.2222222222222222,9.904397574468987,0,0,0.0,0,0,,,,,,False,False,6598.961461191853,False,0,0
Coëtmieux,22044,Coëtmieux,48.4868,-2.5904,22,53,1869.0,8.2033,227.83513951702363,24530.0,0.02561738362611634,1.614594095893259,0.1735897536325511,11.477398406398926,0,0,0.0,0,0,,,,,,False,False,4936.8827342365,False,0,0
Le Mené,22046,Le Mené,48.2837,-2.5144,22,53,6556.0,163.36530000000002,40.130921315603736,21360.0,0.08739898360087311,1.3467812591136805,0.24346598220802787,0.0,0,0,0.0,0,0,,,,,,False,False,15696.367456594018,False,0,0
Corseul,22048,Corseul,48.4846,-2.1675,22,53,2331.0,42.2795,55.13310233091688,22910.0,0.05017502180901347,1.4353546119226017,0.2280921336755339,9.395869796114377,0,0,0.0,0,0,,,,,,False,False,2294.960255945927,False,0,0
Créhen,22049,Créhen,48.5447,-2.1869,22,53,1671.0,18.2154,91.73556441253007,22420.0,0.04671532846715328,1.4613138686131386,0.3407451923076923,6.184212124957356,0,0,0.0,0,0,,,,,,False,False,4015.7184052935604,False,0,0
Dinan,22050,Dinan,48.4471,-2.0533,22,53,14764.0,8.7223,1692.6728041915549,23290.0,0.22150757403961494,1.019603879773696,0.3139285251012996,3.1544361561994316,2,689,229.7,342,10,05:56:00,22:51:00,16.9,16.92,16.87,True,True,1069.1789623024183,True,2,0
Erquy,22054,Erquy,48.618,-2.4571,22,53,3974.0,26.436700000000002,150.3213336006385,25380.0,0.10453608479847366,1.2688343174120136,0.47323651079337126,0.0,0,0,0.0,0,0,,,,,,False,False,15387.97264485211,False,0,0
Binic-Étables-sur-Mer,22055,Binic-Étables-sur-Mer,48.6167,-2.8372,22,53,7041.0,15.0451,467.9929013432945,26210.0,0.11850127504848262,1.2789150296096086,0.36740516222602954,12.897544316915292,0,0,0.0,0,0,,,,,,False,False,12692.260809466634,False,0,0
Évran,22056,Évran,48.3771,-1.9773,22,53,1784.0,24.3035,73.40506511407823,22460.0,0.08454793195800453,1.3480599331336358,0.27619056662093283,9.594283615261677,0,0,0.0,0,0,,,,,,False,False,10484.966662524888,False,0,0
Le Fœil,22059,Le Fœil,48.4153,-2.9055,22,53,1375.0,21.8777,62.84938544728193,23110.0,0.02813348246588589,1.562640996418597,0.16790589510720405,7.33857781573584,0,0,0.0,0,0,,,,,,False,False,10416.918940201242,False,0,0
Glomel,22061,Glomel,48.2055,-3.3808,22,53,1440.0,79.1157,18.20119141965501,20520.0,0.05796249108879375,1.3776996120672633,0.25785191731860835,10.806406468193886,0,0,0.0,0,0,,,,,,False,False,15667.995151379018,False,0,0
Goudelin,22065,Goudelin,48.606,-3.0245,22,53,1751.0,23.2316,75.37147678162502,22160.0,0.06517902889348094,1.4510105667852062,0.23046450190083392,11.083432063880297,0,0,0.0,0,0,,,,,,False,False,8884.426817837431,False,0,0
Grâces,22067,Grâces,48.5478,-3.1847,22,53,2601.0,14.1625,183.6540158870256,23070.0,0.05915513869914226,1.3767811833084505,0.3273369589598953,5.891701392474677,2,900,450.0,468,3,06:44:00,22:03:00,15.32,15.32,15.32,True,True,1971.220928756408,True,2,0
Guingamp,22070,Guingamp,48.5608,-3.1533,22,53,7111.0,3.4624,2053.7777264325323,18300.0,0.2936321241889717,0.871714067532011,0.21069245584577168,3.186904508006139,2,3238,809.5,1712,19,05:22:00,28:40:00,16.04,23.3,10.88,True,True,929.3218913738721,True,3,0
Hénanbihen,22076,Hénanbihen,48.559,-2.3861,22,53,1479.0,31.813699999999997,46.48940550769009,22810.0,0.047629601452208424,1.4694683369988417,0.2564259683735836,11.388532360896132,0,0,0.0,0,0,,,,,,False,False,7009.460058044329,False,0,0
Hénansal,22077,Hénansal,48.5373,-2.451,22,53,1294.0,29.2879,44.18206836270269,22130.0,0.044804755161195815,1.5178753516735597,0.17701609044750516,8.98464472794587,0,0,0.0,0,0,,,,,,False,False,9091.10830625368,False,0,0
Hénon,22079,Hénon,48.3885,-2.6898,22,53,2310.0,42.0508,54.933556555404415,22490.0,0.05124939808932061,1.5390390523867514,0.16945303969664924,14.049049895840826,0,0,0.0,0,0,,,,,,False,False,9481.02075697342,False,0,0
Hillion,22081,Hillion,48.5042,-2.6453,22,53,4335.0,24.6485,175.8727711625454,24090.0,0.048669478613185664,1.4507918917612481,0.2706280566771768,8.900066193881306,0,0,0.0,0,0,,,,,,False,False,3830.029008660753,False,0,0
Jugon-les-Lacs,22084,Jugon-les-Lacs,48.4014,-2.3217,22,53,2541.0,38.7508,65.57283978653344,22170.0,0.04939999591906219,1.4531817684878552,0.20864280431997628,17.391039160841228,0,0,0.0,0,0,,,,,,False,False,3670.9733319101324,False,0,0
