row_id,city_name,lat_insee,lon_insee,cluster,cluster_nom,niveau_fragilite,has_gare,accessibilite_ord,dist_gare_min_m,nb_trajets_total,nb_lignes_total,amplitude_moy_h,revenu_median_uc,voitures_par_menage,taux_sans_voiture,part_65plus,distance_dom_trav_med_km,population,densite_pop_km2
196,Bucy-le-Long,49.39,3.3923,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2971.5240609016523,0.0,0.0,,23900.0,1.48517532707867,0.0594273692699972,0.2238365187745128,5.198370137578071,1947.0,151.0344346099247
23,Buellas,46.2116,5.1468,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4074.074473153479,0.0,0.0,,26810.0,1.5481886723195906,0.034708438057021,0.2082956922742866,7.766285280887449,1899.0,185.308066121509
5749,Bugnicourt,50.2895,3.1547,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1397.0383842995543,0.0,0.0,,23300.0,1.3788608258017336,0.1055436832562091,0.1868921282698805,10.94492501448173,1095.0,173.41040462427745
5481,Buhl-Lorraine,48.7145,7.0764,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3139.8543092166165,0.0,0.0,,24080.0,1.474102571343441,0.0392344156209615,0.1813206856514845,2.9409442773661274,1204.0,103.72514559426584
9378,Bulgnéville,48.212,5.8412,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5137.532952179316,0.0,0.0,,23400.0,1.3589979427466223,0.0969570007861056,0.2048919463698267,4.665167264555303,1516.0,113.58612990477046
7248,Bully,45.8595,4.5786,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2807.660148004577,0.0,0.0,,27450.0,1.549316614498197,0.0275048417183777,0.1970761164413167,12.64769706110655,2213.0,173.18829237752388
1199,Burie,45.778,-0.4294,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,11422.883152550614,0.0,0.0,,21120.0,1.4103188246990142,0.0677753034623185,0.2428041232382513,11.571341971679288,1338.0,145.16654008896603
7103,Burnhaupt-le-Haut,47.735,7.1284,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,7452.107098443156,0.0,0.0,,26480.0,1.571330989762709,0.032531944206104,0.179952239401389,14.579351526033866,1793.0,143.53300939008477
6682,Buros,43.3469,-0.3105,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,7763.092456966735,0.0,0.0,,30470.0,1.7142857142857142,0.010204081632653,0.2012072434607646,3.853733794851212,2007.0,144.11167038853426
7104,Buschwiller,47.5563,7.4976,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5752.466852278169,0.0,0.0,,38960.0,1.4949910520847844,0.0633500383489448,0.1989689734442599,5.451654827366827,1047.0,255.6838994847249
6334,Busnes,50.5897,2.5119,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,3257.445890353662,0.0,0.0,,23530.0,1.4674009144896618,0.0485479614382628,0.221791102026698,11.446710942984325,1243.0,130.5672268907563
1200,Bussac-sur-Charente,45.7906,-0.6259,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4695.687061289407,0.0,0.0,,23680.0,1.5415056441979185,0.0357314753880477,0.2830223831567121,5.1681134727705365,1321.0,130.77654140102166
4116,Bussières,45.8397,4.2636,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,6368.9260176617545,0.0,0.0,,21690.0,1.4129117793369617,0.0663723287396016,0.2672901504545578,12.234790837266724,1540.0,92.1532136937282
63,Béard-Géovreissiat,46.1884,5.5497,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,1390.6243573419767,0.0,0.0,,24070.0,1.640489023358358,0.0222485190806969,0.1108794616606361,6.298580498077377,1048.0,223.4208113927559
2839,Béguey,44.6494,-0.326,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2217.394622715087,0.0,0.0,,21930.0,1.3568637995304007,0.1007861788910331,0.1723061458917239,17.32146468810641,1308.0,417.2381894159303
6670,Bénéjacq,43.1977,-0.1949,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,4184.3593021516335,0.0,0.0,,24170.0,1.561158037021264,0.0385150023498502,0.2475102846803361,13.832648037311529,2013.0,117.72618281770863
1905,Bésayes,44.9687,5.0902,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,9106.050708637284,0.0,0.0,,25380.0,1.555488655678749,0.0323681756043429,0.2474755829213269,10.803898705395843,1370.0,141.59182281385324
3623,Bévenais,45.3946,5.3924,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,2399.108176966485,0.0,0.0,,25530.0,1.5493337739536597,0.0561604074831894,0.2022177718462418,15.8525836174124,1049.0,73.50262058914207
2143,Béville-le-Comte,48.4378,1.7032,3,"c3 - Sans gare, péri-urbain proche",Faible-modérée,0.0,0.0,5700.112524018124,0.0,0.0,,24510.0,1.491736383486996,0.0551200808450305,0.1612085029910212,14.694005426246674,1705.0,84.19753086419753
